Matchup,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"APR 15, 2015 - ATL @ CHI",L,240,85,36,92,39.1,8,29,27.6,5,7,71.4,10,32,42,15,10,10,15,19
"APR 13, 2015 - ATL vs. NYK",L,240,108,39,88,44.3,11,32,34.4,19,23,82.6,12,25,37,27,10,3,8,17
"APR 12, 2015 - ATL @ WAS",L,240,99,36,87,41.4,9,29,31,18,24,75,7,31,38,24,10,2,11,22
"APR 10, 2015 - ATL vs. CHA",W,240,104,41,82,50,10,28,35.7,12,16,75,9,35,44,31,10,4,13,18
"APR 08, 2015 - ATL @ BKN",W,240,114,43,86,50,11,28,39.3,17,25,68,10,30,40,35,11,4,11,18
"APR 07, 2015 - ATL vs. PHX",W,240,96,41,83,49.4,4,25,16,10,14,71.4,8,46,54,21,9,4,15,17
"APR 04, 2015 - ATL vs. BKN",W,240,131,49,82,59.8,17,33,51.5,16,19,84.2,7,27,34,40,15,4,12,16
"MAR 31, 2015 - ATL @ DET",L,240,95,40,84,47.6,8,25,32,7,10,70,12,31,43,25,8,0,17,14
"MAR 30, 2015 - ATL vs. MIL",W,240,101,36,79,45.6,9,29,31,20,24,83.3,12,30,42,29,5,4,11,20
"MAR 28, 2015 - ATL @ CHA",L,240,100,37,86,43,15,30,50,11,14,78.6,7,29,36,32,6,4,10,17
"MAR 27, 2015 - ATL vs. MIA",W,240,99,37,72,51.4,6,18,33.3,19,24,79.2,5,33,38,31,12,4,16,13
"MAR 25, 2015 - ATL @ ORL",W,240,95,39,90,43.3,10,31,32.3,7,10,70,12,33,45,21,9,8,13,17
"MAR 22, 2015 - ATL vs. SAS",L,240,95,38,80,47.5,12,24,50,7,7,100,6,23,29,25,13,2,18,15
"MAR 20, 2015 - ATL @ OKC",L,240,115,41,82,50,13,29,44.8,20,25,80,7,27,34,20,9,4,11,16
"MAR 18, 2015 - ATL @ GSW",L,240,95,31,87,35.6,8,22,36.4,25,30,83.3,15,29,44,24,14,4,15,20
"MAR 16, 2015 - ATL @ SAC",W,240,110,38,84,45.2,12,31,38.7,22,30,73.3,9,30,39,25,11,5,12,24
"MAR 15, 2015 - ATL @ LAL",W,240,91,34,76,44.7,5,23,21.7,18,27,66.7,7,27,34,25,9,6,10,14
"MAR 13, 2015 - ATL @ PHX",W,240,96,39,83,47,8,18,44.4,10,12,83.3,7,31,38,22,11,6,11,20
"MAR 11, 2015 - ATL @ DEN",L,240,102,34,81,42,9,27,33.3,25,27,92.6,8,24,32,18,11,3,17,18
"MAR 09, 2015 - ATL vs. SAC",W,240,130,53,88,60.2,20,36,55.6,4,7,57.1,10,23,33,42,8,6,13,18
"MAR 07, 2015 - ATL @ PHI",L,240,84,30,77,39,11,25,44,13,16,81.3,5,37,42,20,8,9,19,14
"MAR 06, 2015 - ATL vs. CLE",W,240,106,43,84,51.2,6,21,28.6,14,17,82.4,11,27,38,27,10,4,12,22
"MAR 03, 2015 - ATL vs. HOU",W,240,104,39,86,45.3,8,29,27.6,18,21,85.7,9,40,49,23,3,6,15,13
"FEB 28, 2015 - ATL @ MIA",W,240,93,34,79,43,10,25,40,15,20,75,8,29,37,23,12,5,18,19
"FEB 27, 2015 - ATL vs. ORL",W,240,95,36,81,44.4,14,31,45.2,9,12,75,11,31,42,27,11,5,18,12
"FEB 25, 2015 - ATL vs. DAL",W,240,104,39,85,45.9,13,35,37.1,13,16,81.3,10,31,41,28,7,2,11,18
"FEB 22, 2015 - ATL @ MIL",W,240,97,35,87,40.2,9,30,30,18,21,85.7,16,27,43,23,10,7,20,17
"FEB 20, 2015 - ATL vs. TOR",L,240,80,29,88,33,8,38,21.1,14,21,66.7,17,35,52,19,6,8,22,10
